num_votes,rating,tconst,title,year
1718456,9.3,tt0111161,The Shawshank Redemption,1994
1174559,9.2,tt0068646,The Godfather,1972
804922,9.0,tt0071562,The Godfather: Part II,1974
1704632,9.0,tt0468569,The Dark Knight,2008
457572,8.9,tt0050083,12 Angry Men,1957
880006,8.9,tt0108052,Schindler's List,1993
1346366,8.9,tt0110912,Pulp Fiction,1994
1234876,8.9,tt0167260,The Lord of the Rings: The Return of the King,2003
511565,8.9,tt0060196,"The Good, the Bad and the Ugly",1966
1371582,8.8,tt0137523,Fight Club,1999
1257527,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
852462,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980
1276196,8.8,tt0109830,Forrest Gump,1994
1495184,8.8,tt1375666,Inception,2010
1118186,8.7,tt0167261,The Lord of the Rings: The Two Towers,2002
690500,8.7,tt0073486,One Flew Over the Cuckoo's Nest,1975
741111,8.7,tt0099685,Goodfellas,1990
1237777,8.7,tt0133093,The Matrix,1999
232946,8.7,tt0047478,Seven Samurai,1954
925517,8.7,tt0076759,Star Wars: Episode IV - A New Hope,1977
541391,8.7,tt0317248,City of God,2002
1042796,8.6,tt0114369,Se7en,1995
904228,8.6,tt0102926,The Silence of the Lambs,1991
280147,8.6,tt0038650,It's a Wonderful Life,1946
753195,8.6,tt0114814,The Usual Suspects,1995
429117,8.6,tt0118799,Life Is Beautiful,1997
739183,8.6,tt0110413,L̩on: The Professional,1994
427730,8.6,tt0245429,Spirited Away,2001
897416,8.6,tt0120815,Saving Private Ryan,1998
219759,8.6,tt0064116,Once Upon a Time in the West,1968
795211,8.6,tt0120586,American History X,1998
956345,8.6,tt0816692,Interstellar,2014
393203,8.6,tt0034583,Casablanca,1942
430145,8.5,tt0054215,Psycho,1960
110655,8.6,tt0021749,City Lights,1931
671034,8.5,tt0082971,Raiders of the Lost Ark,1981
800204,8.5,tt0120689,The Green Mile,1999
516250,8.6,tt1675434,The Intouchables,2011
146333,8.6,tt0027977,Modern Times,1936
321643,8.5,tt0047396,Rear Window,1954
756537,8.5,tt0103064,Terminator 2: Judgment Day,1991
888819,8.5,tt0407887,The Departed,2006
509027,8.5,tt0253474,The Pianist,2002
746085,8.5,tt0088763,Back to the Future,1985
417238,8.5,tt2582802,Whiplash,2014
999279,8.5,tt0172495,Gladiator,2000
860173,8.5,tt0209144,Memento,2000
457266,8.5,tt0078788,Apocalypse Now,1979
860347,8.5,tt0482571,The Prestige,2006
657760,8.5,tt0110357,The Lion King,1994
